Date;Time of day;Germany/Luxembourg[€/MWh];Denmark 1[€/MWh];Denmark 2[€/MWh];France[€/MWh];Northern Italy[€/MWh];Netherlands[€/MWh];Poland[€/MWh];Sweden 4[€/MWh];Switzerland[€/MWh];Slovenia[€/MWh];Czech Republic[€/MWh];Hungary[€/MWh];Austria[€/MWh];DE/AT/LU[€/MWh];Belgium[€/MWh];Norway 2[€/MWh]
Jan 7, 2021;3:00 PM;83.57;81.57;81.57;83.57;83.57;83.57;81.29;81.57;83.29;83.57;80;80;83.57;-;83.57;81.57
Jan 7, 2021;4:00 PM;89.68;89.68;89.68;89.68;89.68;89.68;89.68;89.68;87.35;89.68;87.33;87.33;89.68;-;89.68;89.68
Jan 7, 2021;5:00 PM;100;99.91;100;100;97;100;94.2;99.91;94.81;97;93.82;93.82;100;-;100;99.91
Jan 7, 2021;6:00 PM;90.43;84.62;90.43;106.95;92.2;80;84.62;84.62;93.43;92.2;90;90;93.8;-;73.08;84.62
Jan 7, 2021;7:00 PM;80.28;77.79;80.28;108.97;86.19;62.9;77.79;77.79;81.44;86.19;82;82;86.19;-;54.78;77.79
Jan 7, 2021;8:00 PM;66.8;65.2;66.8;95.85;72.91;44;65.2;65.2;69.3;72.91;72;72;72.91;-;51.39;64.73
Jan 7, 2021;9:00 PM;60.22;59.33;59.33;78.37;65.22;45.9;59.33;59.33;63.88;64.01;64.13;64.13;64.01;-;50.66;58.35
Jan 7, 2021;10:00 PM;59.69;58.26;58.26;71.68;61.98;50.54;58.26;58.26;60.88;61.98;60.08;60.08;62.01;-;53.05;57.84
Jan 7, 2021;11:00 PM;52.25;52.25;52.25;65.04;57.58;41.9;50.99;50.99;58.64;54.73;50.68;50.68;54.73;-;45.15;50.63
Jan 8, 2021;12:00 AM;50.53;49.31;49.31;57.45;57.45;45.41;49.31;49.31;59.58;51.88;49.1;49.1;51.88;-;46.59;49.31
Jan 8, 2021;1:00 AM;48.43;47.38;47.38;56.41;56.41;42.13;47.38;47.38;58.26;49.99;47.24;47.24;49.99;-;43.9;47.38
Jan 8, 2021;2:00 AM;47.24;45.78;45.78;55.17;55.17;42.39;45.78;45.78;57.61;48.75;43;38.06;48.75;-;40;45.78
Jan 8, 2021;3:00 AM;45.61;44.51;44.51;51.76;51.76;42.07;44.51;44.51;56.21;46.77;43.23;37.38;46.77;-;40;44.51
Jan 8, 2021;4:00 AM;46.81;45.69;45.69;50.86;50.86;43.83;46.23;45.69;55.31;47.6;46.87;45.28;47.6;-;44.51;45.69
Jan 8, 2021;5:00 AM;51.57;50.33;50.33;56.45;56.45;48.17;50.33;50.33;57.93;52.52;53.78;53.78;52.52;-;48.8;50.33
Jan 8, 2021;6:00 AM;60.67;59.71;59.71;65.75;65.22;57.73;59.71;59.71;63.6;61.69;65;66.43;61.69;-;55.41;59.64
